Channel Id,Channel Url,Channel Title
UCdp6GUwjKscp5ST4M4WgIpw,http://www.youtube.com/channel/UCdp6GUwjKscp5ST4M4WgIpw,TechWiser
UCdqp0KK_Io7TwK5cJMBvB0Q,http://www.youtube.com/channel/UCdqp0KK_Io7TwK5cJMBvB0Q,WhistlinDiesel
UCe3POi_PuUA9VSG9qRFRucQ,http://www.youtube.com/channel/UCe3POi_PuUA9VSG9qRFRucQ,Ankit Arora
UCe9PkNnkHNHGmaml-agcOqQ,http://www.youtube.com/channel/UCe9PkNnkHNHGmaml-agcOqQ,Gourav Bahl
UCeOrhhGAIu6IvNv8_WWMqHA,http://www.youtube.com/channel/UCeOrhhGAIu6IvNv8_WWMqHA,What The Fukrey
UCeVMnSShP_Iviwkknt83cww,http://www.youtube.com/channel/UCeVMnSShP_Iviwkknt83cww,CodeWithHarry
UCe_PCAZ_-FXxYoK8hfdXQ1w,http://www.youtube.com/channel/UCe_PCAZ_-FXxYoK8hfdXQ1w,DIY GANG
UCes1EvRjcKU4sY_UEavndBw,http://www.youtube.com/channel/UCes1EvRjcKU4sY_UEavndBw,ChrisFix
UCfAd3c682ejJ6Lubk8Aesfw,http://www.youtube.com/channel/UCfAd3c682ejJ6Lubk8Aesfw,Grow with Bhushan
UCfVPVbh4B9wYwkSRsz8Er4g,http://www.youtube.com/channel/UCfVPVbh4B9wYwkSRsz8Er4g,Josh Sanderson
UCfhbydY40P2Lli9HuBz8cdA,http://www.youtube.com/channel/UCfhbydY40P2Lli9HuBz8cdA,SeeKen
UCfzPDbcPvAB3ML3b8RjrQOQ,http://www.youtube.com/channel/UCfzPDbcPvAB3ML3b8RjrQOQ,Sagar Das
UCg8LTugCdsOLuwtd9n0d8kA,http://www.youtube.com/channel/UCg8LTugCdsOLuwtd9n0d8kA,Rowan Row
UCgXP0Rw9x7GJDIrhwZNhQUQ,http://www.youtube.com/channel/UCgXP0Rw9x7GJDIrhwZNhQUQ,Mithoon
UCgz03WhmWF3otcwXd38bQ9g,http://www.youtube.com/channel/UCgz03WhmWF3otcwXd38bQ9g,Ayan Pahwa
UCh8f8vssLddD2PbnU3Ag_Bw,http://www.youtube.com/channel/UCh8f8vssLddD2PbnU3Ag_Bw,Cleetus McFarland
UChHxJaKDqH4bOs0pX3hkKnA,http://www.youtube.com/channel/UChHxJaKDqH4bOs0pX3hkKnA,Basically Homeless
UChrCgXmIW1toX2B7viP6S7Q,http://www.youtube.com/channel/UChrCgXmIW1toX2B7viP6S7Q,Nikodem Bartnik
UChwQtqHa6ecwtW6kxaPq-bA,http://www.youtube.com/channel/UChwQtqHa6ecwtW6kxaPq-bA,Digital Indian
UCi7fAzxtd4dA_61EnigvgWA,http://www.youtube.com/channel/UCi7fAzxtd4dA_61EnigvgWA,Ipsita Das
UCiEHVhv0SBMpP75JbzJShqw,http://www.youtube.com/channel/UCiEHVhv0SBMpP75JbzJShqw,Lectures by Walter Lewin. They will make you ♥ Physics.
UCiTgRcnZs--vFScAQtRH5QA,http://www.youtube.com/channel/UCiTgRcnZs--vFScAQtRH5QA,Fads
UCiVRVcAmbw9vC78KeuomTPw,http://www.youtube.com/channel/UCiVRVcAmbw9vC78KeuomTPw,Jack Schneider
UCiuvIXoJsLBVgkhDA8gTuJg,http://www.youtube.com/channel/UCiuvIXoJsLBVgkhDA8gTuJg,Engineering Gone Wild
UCjWs7BxyjO5SLqevxSmp4vQ,http://www.youtube.com/channel/UCjWs7BxyjO5SLqevxSmp4vQ,Autocar India
UCjaeV7cD0tEkM7iTDIAo-GQ,http://www.youtube.com/channel/UCjaeV7cD0tEkM7iTDIAo-GQ,Karanvir Singh Nayyar
UCjhVeNhDtZZxuib-YJVKP_g,http://www.youtube.com/channel/UCjhVeNhDtZZxuib-YJVKP_g,CHEMISTRY BUDDY
UCk0fGHsCEzGig-rSzkfCjMw,http://www.youtube.com/channel/UCk0fGHsCEzGig-rSzkfCjMw,The Engineering Mindset
UCkKh0mX-A5uTbk60YutGFxg,http://www.youtube.com/channel/UCkKh0mX-A5uTbk60YutGFxg,Kishan Chotaliya
UCkS7Vxu4PjM99w0Is6idjcg,http://www.youtube.com/channel/UCkS7Vxu4PjM99w0Is6idjcg,Zakir Khan
UCkcqmxjMXaBb0kDWqqSEU1g,http://www.youtube.com/channel/UCkcqmxjMXaBb0kDWqqSEU1g,Sahil & Sarra
UCkjrBN_GAjFJyVvjcI07KkQ,http://www.youtube.com/channel/UCkjrBN_GAjFJyVvjcI07KkQ,Natalie Lynn
UCkvaRO6v9gjZfIo8ulp6cBQ,http://www.youtube.com/channel/UCkvaRO6v9gjZfIo8ulp6cBQ,The Arun Pandit Show Podcast - Clips
UCl98ND-IkpQAn0oaPf5tOzg,http://www.youtube.com/channel/UCl98ND-IkpQAn0oaPf5tOzg,Anurag Abhishek
